name,size_of_the_bottle,MRP_of_the_bottle,price_of_the_bottle,1mg_url
SBL Drops No. 1 (For Hair Care),bottle of 30 ml Drop,₹185,₹146,https://www.1mg.com/otc/sbl-drops-no.-1-for-hair-care-otc325890
Dr Willmar Schwabe India Alpha - MP Drop,bottle of 30 ml Drop,₹125,₹110,https://www.1mg.com/otc/dr-willmar-schwabe-india-alpha-mp-drop-otc326047
Medisynth Jondila Forte Syrup,bottle of 120 ml Syrup,₹120,₹107,https://www.1mg.com/otc/medisynth-jondila-forte-syrup-otc787791
Medisynth Jondila Sugar Free Syrup,bottle of 200 ml Syrup,₹170,₹166,https://www.1mg.com/otc/medisynth-jondila-sugar-free-syrup-otc339314
Dr. Reckeweg Cholesterinum Trituration Tablet 3X,bottle of 20 gm Trituration Tablet,₹255,₹241,https://www.1mg.com/otc/dr.-reckeweg-cholesterinum-trituration-tablet-3x-otc326942
Medisynth Jondila Forte Syrup,bottle of 450 ml Syrup,₹320,₹300,https://www.1mg.com/otc/medisynth-jondila-forte-syrup-otc787798
SBL Causticum Dilution 200 CH,bottle of 30 ml Dilution,₹115,₹107,https://www.1mg.com/otc/sbl-causticum-dilution-200-ch-otc346123
Dr. Reckeweg Caladium Seg Dilution 1000 CH,bottle of 11 ml Dilution,₹210,₹206,https://www.1mg.com/otc/dr.-reckeweg-caladium-seg-dilution-1000-ch-otc335831
Medisynth Jondila Forte Syrup,bottle of 200 ml Syrup,₹170,₹166,https://www.1mg.com/otc/medisynth-jondila-forte-syrup-otc787795
SBL Mercurius Solubilis Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹94,https://www.1mg.com/otc/sbl-mercurius-solubilis-dilution-30-ch-otc338313
SBL Kali Muriaticum Biochemic Tablet 6X,bottle of 25 gm Biochemic Tablet,₹110,₹107,https://www.1mg.com/otc/sbl-kali-muriaticum-biochemic-tablet-6x-otc331049
SBL Natrum Muriaticum Biochemic Tablet 6X,bottle of 25 gm Biochemic Tablet,₹110,₹102,https://www.1mg.com/otc/sbl-natrum-muriaticum-biochemic-tablet-6x-otc330938
SBL Hypericum Perforatum Dilution 200 CH,bottle of 30 ml Dilution,₹115,₹109,https://www.1mg.com/otc/sbl-hypericum-perforatum-dilution-200-ch-otc347950
Medisynth Diabekoll Non-Sugar Syrup,bottle of 450 ml Syrup,₹320,₹270,https://www.1mg.com/otc/medisynth-diabekoll-non-sugar-syrup-otc789787
Wheezal Mixture Syrup,bottle of 450 ml Syrup,₹270,₹260,https://www.1mg.com/otc/wheezal-mixture-syrup-otc715775
ADEL 6 Apo-Strum Drop,bottle of 20 ml Drop,₹310,₹263,https://www.1mg.com/otc/adel-6-apo-strum-drop-otc326117
Dr Willmar Schwabe India Arnica Montana Mother Tincture Q,bottle of 30 ml Mother Tincture,₹220,₹191,https://www.1mg.com/otc/dr-willmar-schwabe-india-arnica-montana-mother-tincture-q-otc390782
Bakson's Homeopathy Kof Aid Tablet,bottle of 200 tablets,₹500,₹447,https://www.1mg.com/otc/bakson-s-homeopathy-kof-aid-tablet-otc386761
SBL Drops No. 3 (For UTI),bottle of 30 ml Drop,₹185,₹152,https://www.1mg.com/otc/sbl-drops-no.-3-for-uti-otc329039
SBL Ocimum Sanctum Mother Tincture Q,bottle of 30 ml Mother Tincture,₹105,₹102,https://www.1mg.com/otc/sbl-ocimum-sanctum-mother-tincture-q-otc338436
Dr. Reckeweg Bryonia Alba Dilution 200 CH,bottle of 11 ml Dilution,₹170,₹143,https://www.1mg.com/otc/dr.-reckeweg-bryonia-alba-dilution-200-ch-otc335840
Dr Willmar Schwabe India Topi Thuja Cream,tube of 25 gm Cream,₹80,₹69,https://www.1mg.com/otc/dr-willmar-schwabe-india-topi-thuja-cream-otc327365
SBL Apis Mellifica Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹94,https://www.1mg.com/otc/sbl-apis-mellifica-dilution-30-ch-otc338377
Dr. Reckeweg R53 Acne Vulgaris And Pimples Drop,bottle of 22 ml Drop,₹285,₹250,https://www.1mg.com/otc/dr.-reckeweg-r53-acne-vulgaris-and-pimples-drop-otc326016
SBL Natrum Phosphoricum Biochemic Tablet 6X,bottle of 25 gm Biochemic Tablet,₹110,₹107,https://www.1mg.com/otc/sbl-natrum-phosphoricum-biochemic-tablet-6x-otc330946
Dr Willmar Schwabe India Munostim Globules,bottle of 10 gm Globules,₹125,₹103,https://www.1mg.com/otc/dr-willmar-schwabe-india-munostim-globules-otc326148
Dr. Reckeweg Aconitum Napellus Dilution 200 CH,bottle of 11 ml Dilution,₹170,₹159,https://www.1mg.com/otc/dr.-reckeweg-aconitum-napellus-dilution-200-ch-otc335450
SBL Calcarea Fluorica Biochemic Tablet 12X,bottle of 25 gm Biochemic Tablet,₹110,₹99,https://www.1mg.com/otc/sbl-calcarea-fluorica-biochemic-tablet-12x-otc331088
Dr Willmar Schwabe Germany Damiaplant Drop,bottle of 20 ml Drop,₹575,₹528,https://www.1mg.com/otc/dr-willmar-schwabe-germany-damiaplant-drop-otc325893
Dr. Reckeweg R64 Albuminuria Drop,bottle of 22 ml Drop,₹285,₹247,https://www.1mg.com/otc/dr.-reckeweg-r64-albuminuria-drop-otc327393
Dr. Reckeweg Carduus Mar Mother Tincture Q,bottle of 20 ml Mother Tincture,₹270,₹254,https://www.1mg.com/otc/dr.-reckeweg-carduus-mar-mother-tincture-q-otc327435
ADEL 3 Apo-Hepat Drop,bottle of 20 ml Drop,₹310,₹279,https://www.1mg.com/otc/adel-3-apo-hepat-drop-otc326120
ADEL 25 Somcupin Drop,bottle of 20 ml Drop,₹310,₹279,https://www.1mg.com/otc/adel-25-somcupin-drop-otc326095
Bakson's Homeopathy AC#9 Tablet,bottle of 75 tablets,₹215,₹148,https://www.1mg.com/otc/bakson-s-homeopathy-ac-9-tablet-otc502622
SBL Drops No. 7 (For Sinusitis),bottle of 30 ml Drop,₹185,₹156,https://www.1mg.com/otc/sbl-drops-no.-7-for-sinusitis-otc329040
Dr. Reckeweg Baryta Carb Dilution 30 CH,bottle of 11 ml Dilution,₹145,₹132,https://www.1mg.com/otc/dr.-reckeweg-baryta-carb-dilution-30-ch-otc328889
Dr Willmar Schwabe India Topi Berberis Aquifolium Cream,tube of 25 gm Cream,₹80,₹68,https://www.1mg.com/otc/dr-willmar-schwabe-india-topi-berberis-aquifolium-cream-otc326145
Dr. Reckeweg Wiesbaden Dilution 30 CH,bottle of 11 ml Dilution,₹145,₹140,https://www.1mg.com/otc/dr.-reckeweg-wiesbaden-dilution-30-ch-otc326318
SBL Sleeptite Tablet,bottle of 25 gm Tablet,₹165,₹162,https://www.1mg.com/otc/sbl-sleeptite-tablet-otc329013
SBL Aesculus Ointment,tube of 25 gm Ointment,₹80,₹77.6,https://www.1mg.com/otc/sbl-aesculus-ointment-otc330972
SBL Histaminum Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹97,https://www.1mg.com/otc/sbl-histaminum-dilution-30-ch-otc348943
SBL Scalptone Tablet,bottle of 450 gm Tablet,₹865,₹777,https://www.1mg.com/otc/sbl-scalptone-tablet-otc812932
SBL Aconitum Napellus Dilution 200 CH,bottle of 30 ml Dilution,₹115,₹102,https://www.1mg.com/otc/sbl-aconitum-napellus-dilution-200-ch-otc345697
Dr. Reckeweg Vita-C 15 Sedative Nerve Tonic,bottle of 250 ml Tonic,₹740,₹693,https://www.1mg.com/otc/dr.-reckeweg-vita-c-15-sedative-nerve-tonic-otc325996
SBL Calcarea Carbonica Dilution 200 CH,bottle of 30 ml Dilution,₹115,₹94,https://www.1mg.com/otc/sbl-calcarea-carbonica-dilution-200-ch-otc346039
Boericke and Tafel Anti-Dandruff Shampoo,bottle of 150 ml Shampoo,₹145,₹137,https://www.1mg.com/otc/boericke-and-tafel-anti-dandruff-shampoo-otc388285
Allen A70 I.B.S.(Irritable Bowel Syndrome) Drop,bottle of 30 ml Drop,₹170,₹158,https://www.1mg.com/otc/allen-a70-i.b.s.-irritable-bowel-syndrome-drop-otc330218
Medisynth Jondila Forte Syrup,bottle of 120 ml Syrup,₹120,₹107,https://www.1mg.com/otc/medisynth-jondila-forte-syrup-otc787791
Medisynth Jondila Sugar Free Syrup,bottle of 200 ml Syrup,₹170,₹166,https://www.1mg.com/otc/medisynth-jondila-sugar-free-syrup-otc339314
Dr Willmar Schwabe India Rauwolfia Serpentina Tablet 1X,bottle of 20 gm Tablet,₹175,₹169,https://www.1mg.com/otc/dr-willmar-schwabe-india-rauwolfia-serpentina-tablet-1x-otc327283
Medisynth Jondila Forte Syrup,bottle of 450 ml Syrup,₹320,₹300,https://www.1mg.com/otc/medisynth-jondila-forte-syrup-otc787798
SBL Petroleum Cream,tube of 25 gm Cream,₹75,₹69,https://www.1mg.com/otc/sbl-petroleum-cream-otc331003
Wheezal Jaborandi Hair Treatment Oil,bottle of 500 ml Oil,₹425,₹310,https://www.1mg.com/otc/wheezal-jaborandi-hair-treatment-oil-otc536942
Medisynth Jondila Forte Syrup,bottle of 200 ml Syrup,₹170,₹166,https://www.1mg.com/otc/medisynth-jondila-forte-syrup-otc787795
Dr. Reckeweg R57 Pulmonary Tonic,bottle of 22 ml Tonic,₹285,₹245,https://www.1mg.com/otc/dr.-reckeweg-r57-pulmonary-tonic-otc327411
Bakson B22 Sinus Drop,bottle of 30 ml Drop,₹185,₹149,https://www.1mg.com/otc/bakson-b22-sinus-drop-otc388057
Dr Willmar Schwabe India Sabal Pentarkan Drop,bottle of 30 ml Drop,₹190,₹177,https://www.1mg.com/otc/dr-willmar-schwabe-india-sabal-pentarkan-drop-otc327652
SBL Natrum Muriaticum Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹97,https://www.1mg.com/otc/sbl-natrum-muriaticum-dilution-30-ch-otc338310
Medisynth Diabekoll Non-Sugar Syrup,bottle of 450 ml Syrup,₹320,₹270,https://www.1mg.com/otc/medisynth-diabekoll-non-sugar-syrup-otc789787
SBL Hydrangea Arborescens Mother Tincture Q,bottle of 30 ml Mother Tincture,₹150,₹127,https://www.1mg.com/otc/sbl-hydrangea-arborescens-mother-tincture-q-otc338476
ADEL 7 Apo-Tuss Drop,bottle of 20 ml Drop,₹295,₹260,https://www.1mg.com/otc/adel-7-apo-tuss-drop-otc327176
SBL Agnus Castus Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹95,https://www.1mg.com/otc/sbl-agnus-castus-dilution-30-ch-otc345716
SBL Drops No. 5 (For Cervical Pain),bottle of 30 ml Drop,₹185,₹174,https://www.1mg.com/otc/sbl-drops-no.-5-for-cervical-pain-otc329043
Dr. Reckeweg Yohimbinum Mother Tincture Q,bottle of 20 ml Mother Tincture,₹390,₹331,https://www.1mg.com/otc/dr.-reckeweg-yohimbinum-mother-tincture-q-otc327117
SBL AT-Tabs Ant- Traumatic Tablet,bottle of 25 gm Tablet,₹165,₹155,https://www.1mg.com/otc/sbl-at-tabs-ant-traumatic-tablet-otc328994
Dr Willmar Schwabe India Aesculus Pentarkan Drop,bottle of 30 ml Drop,₹190,₹177,https://www.1mg.com/otc/dr-willmar-schwabe-india-aesculus-pentarkan-drop-otc327655
Dr Willmar Schwabe India Jaborandi Mother Tincture Q,bottle of 30 ml Mother Tincture,₹150,₹127,https://www.1mg.com/otc/dr-willmar-schwabe-india-jaborandi-mother-tincture-q-otc391105
ADEL 21 Proscenat Drop,bottle of 20 ml Drop,₹295,₹290,https://www.1mg.com/otc/adel-21-proscenat-drop-otc326098
SBL Sulphur Ointment,tube of 25 gm Ointment,₹75,₹69.8,https://www.1mg.com/otc/sbl-sulphur-ointment-otc331007
Dr. Reckeweg R19 Glandular Drops for Men,bottle of 22 ml Drop,₹285,₹242,https://www.1mg.com/otc/dr.-reckeweg-r19-glandular-drops-for-men-otc327102
SBL Sulphur Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹94,https://www.1mg.com/otc/sbl-sulphur-dilution-30-ch-otc338174
SBL Arnica Montana Herbal Shampoo with TJC,bottle of 100 ml Shampoo,NA,MRP₹110,https://www.1mg.com/otc/sbl-arnica-montana-herbal-shampoo-with-tjc-otc329024
Wheezal Jaborandi Hair Treatment Oil,bottle of 200 ml Oil,₹255,₹228,https://www.1mg.com/otc/wheezal-jaborandi-hair-treatment-oil-otc536941
Dr. Reckeweg China Dilution 30 CH,bottle of 11 ml Dilution,₹145,₹127,https://www.1mg.com/otc/dr.-reckeweg-china-dilution-30-ch-otc326837
SBL Withania Somnifera Mother Tincture Q,bottle of 30 ml Mother Tincture,₹105,₹101,https://www.1mg.com/otc/sbl-withania-somnifera-mother-tincture-q-otc338405
Dr. Reckeweg Belladonna Dilution 200 CH,bottle of 11 ml Dilution,₹170,₹165,https://www.1mg.com/otc/dr.-reckeweg-belladonna-dilution-200-ch-otc335881
Dr. Reckeweg R72 Pancreas Drop,bottle of 22 ml Drop,₹285,₹256,https://www.1mg.com/otc/dr.-reckeweg-r72-pancreas-drop-otc327370
SBL Silicea Biochemic Tablet 6X,bottle of 25 gm Biochemic Tablet,₹110,₹107,https://www.1mg.com/otc/sbl-silicea-biochemic-tablet-6x-otc368309
SBL Andrographis Paniculata Mother Tincture Q,bottle of 30 ml Mother Tincture,₹105,₹94,https://www.1mg.com/otc/sbl-andrographis-paniculata-mother-tincture-q-otc338522
Bakson's Homeopathy Mig Aid Tablet,bottle of 200 tablets,₹500,₹455,https://www.1mg.com/otc/bakson-s-homeopathy-mig-aid-tablet-otc502878
Dr Willmar Schwabe India Bacopa Monnieri Brahmi Mother Tincture Q,bottle of 30 ml Mother Tincture,₹125,₹110,https://www.1mg.com/otc/dr-willmar-schwabe-india-bacopa-monnieri-brahmi-mother-tincture-q-otc390812
Dr Willmar Schwabe India Nux Vomica Dilution 30 CH,bottle of 30 ml Dilution,₹105,₹101,https://www.1mg.com/otc/dr-willmar-schwabe-india-nux-vomica-dilution-30-ch-otc394792
Dr. Reckeweg Arsenicum Album 200 CH Dilution,bottle of 11 ml Dilution,₹170,₹155,https://www.1mg.com/otc/dr.-reckeweg-arsenicum-album-200-ch-dilution-otc328907
SBL Chionanthus Virginica Mother Tincture Q,bottle of 30 ml Mother Tincture,₹365,₹308,https://www.1mg.com/otc/sbl-chionanthus-virginica-mother-tincture-q-otc338499
SBL Alfalfa Mother Tincture Q,bottle of 30 ml Mother Tincture,₹105,₹102,https://www.1mg.com/otc/sbl-alfalfa-mother-tincture-q-otc338527
Bjain Terminalia Arjuna Mother Tincture Q,bottle of 100 ml Mother Tincture,₹195,₹139,https://www.1mg.com/otc/bjain-terminalia-arjuna-mother-tincture-q-otc445317
SBL Stobal Cough Syrup Sugar Free,bottle of 180 ml Syrup,₹185,₹174,https://www.1mg.com/otc/sbl-stobal-cough-syrup-sugar-free-otc473006
SBL Histaminum Dilution 200 CH,bottle of 30 ml Dilution,₹115,₹112,https://www.1mg.com/otc/sbl-histaminum-dilution-200-ch-otc348944
SBL Tonicard Gold Drop Homeopathic Medicine,bottle of 30 ml Drop,₹205,₹199,https://www.1mg.com/otc/sbl-tonicard-gold-drop-homeopathic-medicine-otc329005
Bakson's Homeopathy Homoeopathic Formula P Tablet,bottle of 200 tablets,₹500,₹364,https://www.1mg.com/otc/bakson-s-homeopathy-homoeopathic-formula-p-tablet-otc502902
SBL Gelsemium Sempervirens Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹95,https://www.1mg.com/otc/sbl-gelsemium-sempervirens-dilution-30-ch-otc338332
SBL Blatta Orientalis Mother Tincture Q,bottle of 30 ml Mother Tincture,₹150,₹145,https://www.1mg.com/otc/sbl-blatta-orientalis-mother-tincture-q-otc338511
Medisynth Jondila Forte Syrup,bottle of 120 ml Syrup,₹120,₹107,https://www.1mg.com/otc/medisynth-jondila-forte-syrup-otc787791
Medisynth Jondila Sugar Free Syrup,bottle of 200 ml Syrup,₹170,₹166,https://www.1mg.com/otc/medisynth-jondila-sugar-free-syrup-otc339314
ADEL 64 Mundipur Uric Acid Drop,bottle of 20 ml Drop,NA,MRP₹310,https://www.1mg.com/otc/adel-64-mundipur-uric-acid-drop-otc662025
Medisynth Jondila Forte Syrup,bottle of 450 ml Syrup,₹320,₹300,https://www.1mg.com/otc/medisynth-jondila-forte-syrup-otc787798
SBL Sepia Dilution 200 CH,bottle of 30 ml Dilution,₹115,₹105,https://www.1mg.com/otc/sbl-sepia-dilution-200-ch-otc348706
Dr. Reckeweg Arnica Mont Dilution 30 CH,bottle of 11 ml Dilution,₹145,₹139,https://www.1mg.com/otc/dr.-reckeweg-arnica-mont-dilution-30-ch-otc326893
Medisynth Jondila Forte Syrup,bottle of 200 ml Syrup,₹170,₹166,https://www.1mg.com/otc/medisynth-jondila-forte-syrup-otc787795
Dr. Reckeweg Crataegus Mother Tincture Q,bottle of 20 ml Mother Tincture,₹270,₹261,https://www.1mg.com/otc/dr.-reckeweg-crataegus-mother-tincture-q-otc327757
Dr Willmar Schwabe India Zauber Hair Drop,bottle of 30 ml Drop,₹195,₹156,https://www.1mg.com/otc/dr-willmar-schwabe-india-zauber-hair-drop-otc784654
SBL Swertia Chirata Mother Tincture Q,bottle of 30 ml Mother Tincture,₹150,₹144,https://www.1mg.com/otc/sbl-swertia-chirata-mother-tincture-q-otc338416
SBL Thiosinaminum Trituration Tablet 3X,bottle of 25 gm Trituration Tablet,₹175,₹160,https://www.1mg.com/otc/sbl-thiosinaminum-trituration-tablet-3x-otc338959
Medisynth Diabekoll Non-Sugar Syrup,bottle of 450 ml Syrup,₹320,₹270,https://www.1mg.com/otc/medisynth-diabekoll-non-sugar-syrup-otc789787
SBL Fraxinus Americana Mother Tincture Q,bottle of 30 ml Mother Tincture,₹330,₹298,https://www.1mg.com/otc/sbl-fraxinus-americana-mother-tincture-q-otc338485
SBL Alfalfa Tonic with Ginseng,bottle of 115 ml Tonic,₹130,₹125,https://www.1mg.com/otc/sbl-alfalfa-tonic-with-ginseng-otc328975
SBL Ipecacuanha Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹89,https://www.1mg.com/otc/sbl-ipecacuanha-dilution-30-ch-otc338318
Dr. Reckeweg Ginseng Mother Tincture Q,bottle of 20 ml Mother Tincture,₹315,₹306,https://www.1mg.com/otc/dr.-reckeweg-ginseng-mother-tincture-q-otc327739
SBL Aesculus Hippocastanum Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹97,https://www.1mg.com/otc/sbl-aesculus-hippocastanum-dilution-30-ch-otc345707
SBL Silicea Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹80,https://www.1mg.com/otc/sbl-silicea-dilution-30-ch-otc338178
Dr. Reckeweg Damiana Mother Tincture Q,bottle of 20 ml Mother Tincture,₹270,₹252,https://www.1mg.com/otc/dr.-reckeweg-damiana-mother-tincture-q-otc327754
Hapdco Mensol Tonic,bottle of 450 ml Tonic,₹310,₹251,https://www.1mg.com/otc/hapdco-mensol-tonic-otc386135
ADEL 29 Akutur Drop,bottle of 20 ml Drop,₹310,₹300,https://www.1mg.com/otc/adel-29-akutur-drop-otc326091
Dr. Reckeweg R70 Neuralgia Drop,bottle of 22 ml Drop,₹285,₹239,https://www.1mg.com/otc/dr.-reckeweg-r70-neuralgia-drop-otc326000
SBL Bio-Combination 28 Tablet,bottle of 25 gm Biocombination Tablet,₹110,₹106,https://www.1mg.com/otc/sbl-bio-combination-28-tablet-otc331081
SBL Thyroidinum Trituration Tablet 6X,bottle of 25 gm Trituration Tablet,₹175,₹165,https://www.1mg.com/otc/sbl-thyroidinum-trituration-tablet-6x-otc338955
SBL Ruta Graveolens Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹94.5,https://www.1mg.com/otc/sbl-ruta-graveolens-dilution-30-ch-otc338301
SBL Gelsemium Sempervirens Dilution 200 CH,bottle of 30 ml Dilution,₹115,₹112,https://www.1mg.com/otc/sbl-gelsemium-sempervirens-dilution-200-ch-otc346631
SBL Tonsilat Tablet,bottle of 25 gm Tablet,₹165,₹136,https://www.1mg.com/otc/sbl-tonsilat-tablet-otc329027
SBL Caladium Seguinum Dilution 200 CH,bottle of 30 ml Dilution,₹115,₹110,https://www.1mg.com/otc/sbl-caladium-seguinum-dilution-200-ch-otc346066
SBL Robinia Pseudacacia Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹90,https://www.1mg.com/otc/sbl-robinia-pseudacacia-dilution-30-ch-otc348603
Medisynth Jondila Forte Syrup,bottle of 450 ml Syrup,₹320,₹300,https://www.1mg.com/otc/medisynth-jondila-forte-syrup-otc787798
ADEL 83 Bronchi-Pertu Syrup,bottle of 150 ml Syrup,₹520,₹480,https://www.1mg.com/otc/adel-83-bronchi-pertu-syrup-otc326054
Allen A15 Indigestion Gas & Acidity Drop,bottle of 30 ml Drop,₹170,₹163,https://www.1mg.com/otc/allen-a15-indigestion-gas-acidity-drop-otc330266
ADEL 5 Apo-Stom Drop,bottle of 20 ml Drop,₹310,₹236,https://www.1mg.com/otc/adel-5-apo-stom-drop-otc326118
Dr. Reckeweg Thyroidinum Trituration Tablet 3X,bottle of 20 gm Trituration Tablet,₹255,₹240,https://www.1mg.com/otc/dr.-reckeweg-thyroidinum-trituration-tablet-3x-otc326928
Adven Sinus-Gold Drop,bottle of 30 ml Drop,₹175,₹167,https://www.1mg.com/otc/adven-sinus-gold-drop-otc328954
SBL Cantharis Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹97,https://www.1mg.com/otc/sbl-cantharis-dilution-30-ch-otc338356
Bjain Berberis Vulgaris Mother Tincture Q,bottle of 100 ml Mother Tincture,₹195,₹156,https://www.1mg.com/otc/bjain-berberis-vulgaris-mother-tincture-q-otc444655
SBL Abroma Augusta Mother Tincture Q,bottle of 30 ml Mother Tincture,₹105,₹91,https://www.1mg.com/otc/sbl-abroma-augusta-mother-tincture-q-otc338537
ADEL 11 Defaeton Drop,bottle of 20 ml Drop,₹295,₹269,https://www.1mg.com/otc/adel-11-defaeton-drop-otc326112
SBL Spongia Tosta Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹90,https://www.1mg.com/otc/sbl-spongia-tosta-dilution-30-ch-otc338223
SBL Five Phos A+ Nerve Tonic,bottle of 115 ml Tonic,₹130,₹121,https://www.1mg.com/otc/sbl-five-phos-a-nerve-tonic-otc396895
SBL Kalmegh Syrup,bottle of 115 ml Syrup,₹115,₹109,https://www.1mg.com/otc/sbl-kalmegh-syrup-otc331014
Dr Willmar Schwabe India Damiana Mother Tincture Q,bottle of 30 ml Mother Tincture,₹150,₹112,https://www.1mg.com/otc/dr-willmar-schwabe-india-damiana-mother-tincture-q-otc390932
SBL Arnica Ointment,tube of 25 gm Ointment,₹75,₹66,https://www.1mg.com/otc/sbl-arnica-ointment-otc330983
Dr. Reckeweg Rauwolfia Serp Mother Tincture Q,bottle of 20 ml Mother Tincture,₹360,₹317,https://www.1mg.com/otc/dr.-reckeweg-rauwolfia-serp-mother-tincture-q-otc327530
Medisynth Jondila Forte Syrup,bottle of 120 ml Syrup,₹120,₹107,https://www.1mg.com/otc/medisynth-jondila-forte-syrup-otc787791
Medisynth Jondila Sugar Free Syrup,bottle of 200 ml Syrup,₹170,₹166,https://www.1mg.com/otc/medisynth-jondila-sugar-free-syrup-otc339314
SBL Carica Papaya Mother Tincture Q,bottle of 30 ml Mother Tincture,₹105,₹102,https://www.1mg.com/otc/sbl-carica-papaya-mother-tincture-q-otc338506
Medisynth Jondila Forte Syrup,bottle of 450 ml Syrup,₹320,₹300,https://www.1mg.com/otc/medisynth-jondila-forte-syrup-otc787798
ADEL 51 Psy-Stabil Drop,bottle of 20 ml Drop,₹310,₹266,https://www.1mg.com/otc/adel-51-psy-stabil-drop-otc327724
SBL Quality Globules (Grade Sugar 30),jar of 450 gm Globules,NA,MRP₹200,https://www.1mg.com/otc/sbl-quality-globules-grade-sugar-30-otc342087
Medisynth Jondila Forte Syrup,bottle of 200 ml Syrup,₹170,₹166,https://www.1mg.com/otc/medisynth-jondila-forte-syrup-otc787795
SBL Nuphar Lutea Mother Tincture Q,bottle of 30 ml Mother Tincture,₹330,₹280,https://www.1mg.com/otc/sbl-nuphar-lutea-mother-tincture-q-otc338439
SBL Cantharis Mother Tincture Q,bottle of 30 ml Mother Tincture,₹330,₹304,https://www.1mg.com/otc/sbl-cantharis-mother-tincture-q-otc338508
Dr. Reckeweg Bacopa Monnieri (Brahmi) Mother Tincture Q,bottle of 20 ml Mother Tincture,₹270,₹237,https://www.1mg.com/otc/dr.-reckeweg-bacopa-monnieri-brahmi-mother-tincture-q-otc327794
Dr. Reckeweg Bio-Combination 28 (BC 28) Tablet,bottle of 20 gm Biocombination Tablet,₹200,₹169,https://www.1mg.com/otc/dr.-reckeweg-bio-combination-28-bc-28-tablet-otc326253
Medisynth Diabekoll Non-Sugar Syrup,bottle of 450 ml Syrup,₹320,₹270,https://www.1mg.com/otc/medisynth-diabekoll-non-sugar-syrup-otc789787
Dr. S.C.Deb's Rheumalin Forte Tablet with Calcium Supplement Tablet,bottle of 30 gm Tablet,₹190,₹184,https://www.1mg.com/otc/dr.-s.c.deb-s-rheumalin-forte-tablet-with-calcium-supplement-tablet-otc797245
Bakson's Homeopathy Mig Aid Tablet,bottle of 75 tablets,₹215,₹171,https://www.1mg.com/otc/bakson-s-homeopathy-mig-aid-tablet-otc327318
Dr. Reckeweg R88 Anti Viral Drop,bottle of 30 ml Drop,₹330,₹305,https://www.1mg.com/otc/dr.-reckeweg-r88-anti-viral-drop-otc326061
Boericke and Tafel Hair Growth Oil,bottle of 200 ml Oil,₹180,₹168,https://www.1mg.com/otc/boericke-and-tafel-hair-growth-oil-otc388296
SBL Allium Sativum Mother Tincture Q,bottle of 30 ml Mother Tincture,₹105,₹100,https://www.1mg.com/otc/sbl-allium-sativum-mother-tincture-q-otc338524
Medisynth Kofeez Cough Syrup,bottle of 120 ml Syrup,₹120,₹105,https://www.1mg.com/otc/medisynth-kofeez-cough-syrup-otc672709
Allen A82 Premature Greying Of Hair Drop,bottle of 30 ml Drop,₹170,₹151,https://www.1mg.com/otc/allen-a82-premature-greying-of-hair-drop-otc330331
Dr. Reckeweg Phytolacca Berry Mother Tincture Q,bottle of 20 ml Mother Tincture,₹315,₹306,https://www.1mg.com/otc/dr.-reckeweg-phytolacca-berry-mother-tincture-q-otc327404
SBL Acidum Phosphoricum Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹97,https://www.1mg.com/otc/sbl-acidum-phosphoricum-dilution-30-ch-otc338402
Bakson's Homeopathy Rheum Aid Tablet,bottle of 75 tablets,₹215,₹182,https://www.1mg.com/otc/bakson-s-homeopathy-rheum-aid-tablet-otc402192
Dr Willmar Schwabe Germany Calcarea Phosphorica Biochemic Tablet 6X,bottle of 20 gm Biochemic Tablet,₹180,₹152,https://www.1mg.com/otc/dr-willmar-schwabe-germany-calcarea-phosphorica-biochemic-tablet-6x-otc516300
Bakson's Homeopathy Kof Aid Plus Cough Syrup,bottle of 450 ml Syrup,₹270,₹227,https://www.1mg.com/otc/bakson-s-homeopathy-kof-aid-plus-cough-syrup-otc659093
Dr Willmar Schwabe Germany Essentia Aurea Gold Drop,bottle of 20 ml Drop,₹330,₹320,https://www.1mg.com/otc/dr-willmar-schwabe-germany-essentia-aurea-gold-drop-otc327186
Dr. Reckeweg Ferrum Phosphoricum Biochemic Tablet 6X,bottle of 20 gm Biochemic Tablet,₹200,₹177,https://www.1mg.com/otc/dr.-reckeweg-ferrum-phosphoricum-biochemic-tablet-6x-otc327880
SBL Thuja Occidentalis Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹85,https://www.1mg.com/otc/sbl-thuja-occidentalis-dilution-30-ch-otc338171
Medisynth Wartex Forte Drop,bottle of 30 ml Drop,₹175,₹154,https://www.1mg.com/otc/medisynth-wartex-forte-drop-otc339293
